dataset,n_models,models_used,rmse_mean,rmse_median,rmse_fi_avg,rmse_stack_svr
M1,1,rf,1538.7892409498374,1538.7892409498374,1538.7892409498374,1538.7892409498374
M1,1,mlp,2971.694095627463,2971.694095627463,2971.694095627463,2971.694095627463
M1,1,knn,1543.8468998223973,1543.8468998223973,1543.8468998223973,1543.8468998223973
M1,1,svr,1804.7571233920405,1804.7571233920405,1804.7571233920405,1804.7571233920405
M1,1,arima,2055.8901137949956,2055.8901137949956,2055.8901137949956,2055.8901137949956
M1,1,ets,2056.9885836767007,2056.9885836767007,2056.9885836767007,2056.9885836767007
M1,1,ces,2124.287223109587,2124.287223109587,2124.287223109587,2124.287223109587
M1,1,theta,1839.3117164578725,1839.3117164578725,1839.3117164578725,1839.3117164578725
M1,1,tbats,1839.3117164578725,1839.3117164578725,1839.3117164578725,1839.3117164578725
M1,9,rf_mlp_knn_svr_arima_ets_theta_tbats_ces,1568.3400744999387,1849.6352935010457,1563.5611650531914,1705.0567797668245
M1,8,rf_mlp_knn_arima_ets_theta_tbats_ces,1571.6656874193816,1844.8138385660218,1528.5835696368163,1705.0567797668245
M1,8,rf_mlp_svr_arima_ets_theta_tbats_ces,1603.7736551318044,1850.6956201420317,1562.9429311618146,1705.0567797668245
M1,8,rf_mlp_knn_svr_arima_theta_tbats_ces,1535.6138854872954,1659.1222359235371,1557.6742184202035,1705.0567797668245
M1,8,rf_mlp_knn_svr_ets_theta_tbats_ces,1535.6821239097358,1659.1506155031068,1569.0142319270244,1705.0567797668245
M1,8,rf_knn_svr_arima_ets_theta_tbats_ces,1717.4368197952135,1855.5298372663708,1575.9002079258196,1705.0567797668245
M1,8,mlp_knn_svr_arima_ets_theta_tbats_ces,1582.317501031281,1855.5298372663708,1620.5123902035723,1705.056779766826
M1,8,rf_mlp_knn_svr_arima_ets_tbats_ces,1550.0541194287362,1671.029464658533,1561.0366815418258,1705.056782113592
M1,8,rf_mlp_knn_svr_arima_ets_theta_tbats,1531.5078692674729,1659.1222359235371,1551.4180836398016,1705.0567797669344
M1,8,rf_mlp_knn_svr_arima_ets_theta_ces,1550.0541194287362,1671.029464658533,1567.899396263581,1705.056782113592
M1,7,rf_mlp_svr_arima_ets_theta_ces,1584.4866262962091,1861.9739608111008,1566.0156378619856,1705.056782113592
M1,7,mlp_knn_svr_arima_ets_theta_tbats,1539.4139312860884,1849.6352935010457,1612.8313821841753,1705.0567850113716
M1,7,rf_svr_arima_ets_theta_tbats_ces,1790.813600047016,1861.9739608111008,1576.7105438425558,1705.0567797668195
M1,7,rf_mlp_knn_ets_theta_tbats_ces,1529.7376308750827,1840.463615224354,1527.0883517166112,1705.0567797668245
M1,7,rf_mlp_knn_svr_arima_ets_tbats,1514.5759603817999,1606.2774754443224,1559.2875040377473,1705.0568442585673
M1,7,rf_mlp_knn_arima_ets_tbats_ces,1547.3943161590341,1849.6352935010457,1527.2256572073547,1705.0567821135917
M1,7,rf_knn_svr_arima_ets_theta_ces,1705.6890873482153,1862.0298716729199,1570.1744137441722,1705.0567821135917
M1,7,rf_knn_svr_arima_theta_tbats_ces,1681.3000537949877,1849.6352935010457,1563.846514631135,1705.0567797668245
M1,7,rf_mlp_knn_svr_arima_theta_tbats,1501.9283543986082,1595.707657473569,1556.3078917565138,1705.0567797669344
M1,7,rf_mlp_svr_arima_theta_tbats_ces,1566.646626385296,1840.463615224354,1553.5364843516559,1705.0567797668245
M1,7,rf_mlp_knn_svr_ets_theta_tbats,1501.9871390826809,1595.707657473569,1555.0759147819329,1705.0567797669344
M1,7,rf_mlp_svr_arima_ets_theta_tbats,1561.574596891451,1840.463615224354,1564.3713507219009,1705.0567797669344
M1,7,rf_mlp_knn_arima_ets_theta_ces,1547.3943161590341,1849.6352935010457,1527.4789361162302,1705.0567821135917
