dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M1,1,rf,61.88544280236151,61.88544280236151,61.88544280236151,61.88544280236151
M1,1,mlp,158.17346483926718,158.17346483926718,158.17346483926718,158.17346483926718
M1,1,knn,56.733266743575186,56.733266743575186,56.733266743575186,56.733266743575186
M1,1,svr,69.6380846199756,69.6380846199756,69.6380846199756,69.6380846199756
M1,1,arima,76.28422099092525,76.28422099092525,76.28422099092525,76.28422099092525
M1,1,ets,76.30268685332088,76.30268685332088,76.30268685332088,76.30268685332088
M1,1,ces,77.40209794796617,77.40209794796617,77.40209794796617,77.40209794796617
M1,1,theta,72.24198218622652,72.24198218622652,72.24198218622652,72.24198218622652
M1,1,tbats,72.24198218622652,72.24198218622652,72.24198218622652,72.24198218622652
M1,9,rf_mlp_knn_svr_arima_ets_theta_tbats_ces,64.98961952449228,72.68629192839886,63.08454052276898,69.19282192050748
M1,8,rf_mlp_knn_arima_ets_theta_tbats_ces,65.27478304074897,72.49730941562157,61.6542094608425,69.19282192050748
M1,8,rf_mlp_svr_arima_ets_theta_tbats_ces,66.27481021927372,72.71948861118048,63.13281288559482,69.19282192050748
M1,8,rf_mlp_knn_svr_arima_theta_tbats_ces,63.19981117568889,68.76508402088479,62.850844001962805,69.19282192050748
M1,8,rf_mlp_knn_svr_ets_theta_tbats_ces,63.203320336117265,68.76615835617052,63.23797097755961,69.19282192050748
M1,8,rf_knn_svr_arima_ets_theta_tbats_ces,70.01117603766042,72.909499771564,63.413650025921875,69.19282192050748
M1,8,mlp_knn_svr_arima_ets_theta_tbats_ces,65.3402094507933,72.909499771564,63.82272312960369,69.1928219205075
M1,8,rf_mlp_knn_svr_arima_ets_tbats_ces,63.91695614777071,69.17727437682721,62.966774785687896,69.19282197885474
M1,8,rf_mlp_knn_svr_arima_ets_theta_tbats,62.986387213525,68.76508402088479,62.547316195176926,69.19282192051021
M1,8,rf_mlp_knn_svr_arima_ets_theta_ces,63.91695614777071,69.17727437682721,63.20139698354824,69.19282197885474
M1,7,rf_mlp_svr_arima_ets_theta_ces,65.29433809905849,73.11927534063621,63.23643487656905,69.19282197885474
M1,7,mlp_knn_svr_arima_ets_theta_tbats,63.137083149695485,72.68629192839886,63.16426900784404,69.19282205090171
M1,7,rf_svr_arima_ets_theta_tbats_ces,71.95996181415283,73.11927534063621,63.53538182633305,69.19282192050736
M1,7,rf_mlp_knn_ets_theta_tbats_ces,63.320258083430346,72.29983737544465,61.54773820118653,69.19282192050748
M1,7,rf_mlp_knn_svr_arima_ets_tbats,61.81819672084761,64.57814247231084,62.894950456807344,69.19282352395405
M1,7,rf_mlp_knn_arima_ets_tbats_ces,64.12415141403224,72.68629192839886,61.589458598344706,69.19282197885471
M1,7,rf_knn_svr_arima_ets_theta_ces,69.63266395768179,73.12133238988284,63.19690584098713,69.19282197885472
M1,7,rf_knn_svr_arima_theta_tbats_ces,68.93626621278793,72.68629192839886,62.9923460058879,69.19282192050748
M1,7,rf_mlp_knn_svr_arima_theta_tbats,61.12646205272454,64.19168791935664,62.72711170474546,69.19282192051021
M1,7,rf_mlp_svr_arima_theta_tbats_ces,64.50635133250447,72.29983737544465,62.78044809520457,69.19282192050748
M1,7,rf_mlp_knn_svr_ets_theta_tbats,61.129855962414915,64.19168791935664,62.71842705266412,69.19282192051021
M1,7,rf_mlp_svr_arima_ets_theta_tbats,64.27149562486001,72.29983737544465,63.164649753871394,69.19282192051021
M1,7,rf_mlp_knn_arima_ets_theta_ces,64.12415141403224,72.68629192839886,61.5807140161886,69.19282197885471
M1,7,rf_knn_svr_ets_theta_tbats_ces,68.93967576009084,72.68834897764548,63.07349412088477,69.19282192050748
M1,7,rf_knn_svr_arima_ets_theta_tbats,68.72886536564168,72.68629192839886,63.074436669145264,69.19282192051021
M1,7,mlp_knn_arima_ets_theta_tbats_ces,65.67287462572166,72.68629192839886,61.63032037738129,69.1928219205075
M1,7,rf_mlp_knn_arima_ets_theta_tbats,63.075505134448406,72.29983737544465,61.268786030132226,69.19282192051021
M1,7,mlp_knn_svr_arima_ets_tbats_ces,64.18897912618812,73.12133238988284,63.96284471482642,69.1928219788548
M1,7,rf_mlp_knn_svr_ets_tbats_ces,62.021567028080526,64.58019952155746,62.817371003702284,69.19282197885474
M1,7,mlp_knn_svr_ets_theta_tbats_ces,63.382606988121296,72.68834897764548,63.682953854426025,69.1928219205075
M1,7,rf_mlp_arima_ets_theta_tbats_ces,66.65554103846958,72.29983737544465,62.01364858765343,69.19282192050736
M1,7,rf_mlp_knn_svr_arima_ets_theta,61.81819672084761,64.57814247231084,62.88805773808064,69.19282352395405
M1,7,rf_mlp_svr_arima_ets_tbats_ces,65.29433809905849,73.11927534063621,63.24843080569076,69.19282197885474
M1,7,mlp_knn_svr_arima_ets_theta_ces,64.18897912618812,73.12133238988284,63.846993535984964,69.1928219788548
M1,7,rf_mlp_knn_svr_arima_tbats_ces,62.018279729610846,64.57814247231084,62.777076907492614,69.1928219788553
M1,7,rf_knn_svr_arima_ets_tbats_ces,69.63266395768179,73.12133238988284,63.0844648113498,69.19282197885472
M1,7,rf_mlp_knn_svr_arima_ets_ces,62.6884006503019,65.01318293379481,62.92630751996005,69.24532631208709
M1,7,rf_mlp_knn_arima_theta_tbats_ces,63.31630032522848,72.29983737544465,61.26332513409658,69.19282192050748
M1,7,rf_mlp_svr_ets_theta_tbats_ces,64.51021153925305,72.29983737544465,63.388032624174315,69.19282192050748
M1,7,mlp_knn_svr_arima_theta_tbats_ces,63.37863682428597,72.68629192839886,63.5425332145516,69.1928219205075
M1,7,rf_mlp_knn_svr_theta_tbats_ces,61.33491122051535,64.19168791935664,62.83926302595897,69.19282192050748
M1,7,rf_mlp_knn_svr_arima_theta_ces,62.018279729610846,64.57814247231084,63.004789747124946,69.1928219788553
M1,7,rf_knn_arima_ets_theta_tbats_ces,70.99047156403414,72.68629192839886,62.29361987246227,69.19282192050748
M1,7,mlp_svr_arima_ets_theta_tbats_ces,66.82087470375096,73.11927534063621,64.94120924019272,69.19282199835204
M1,7,rf_mlp_knn_svr_ets_theta_ces,62.021567028080526,64.58019952155746,62.822606829545116,69.19282197885474
M1,7,knn_svr_arima_ets_theta_tbats_ces,70.9826843964041,73.12133238988284,65.39579482860212,69.19282192054293
